Artikelnr	Schlüssel	Preis	AZ	Strom	Gewicht(kg)	Photowert
5265	MG_MIDICIS_GLASSCHDL_NL780_U_2	10	0	0	0.107	
5993	MG_MIDICIS_GLASSCHDL_NL1040_U_2	42.5	0	0	0.14	
5917	MG_MIDICIS_GLASSCHDL_NL1300_U_1	44.4	0	0	0.173	
5639	MG_MIDICIS_GLASSCHDL_NL1560_U_1	46.3	0	0	0.206	
5264	MG_MIDICIS_AHASH_STD_SX_1.0	3.5	0	0	0.005	
5310	MG_MIDICIS_UNSE_STD_SX_1.0	2.5	0	0	0.006	
4842	MG_MOCIS_LWI_NL520_SX_2.0	60.1	0	0	2.456	
8115	MG_MOCIS_LWI_NL520_SX_2.1	60.1	0	0	2.456	
4617	MG_MOCIS_LWI_NL780_SX_2.0	79.56	0	0	3.253	
8628	MG_MOCIS_LWI_NL780_SX_2.1	79.56	0	0	3.253	
4793	MG_MOCIS_LWI_NL1040_SX_2.0	88.28	0	0	4.05	
8116	MG_MOCIS_LWI_NL1040_SX_2.1	88.28	0	0	4.05	
5760	MG_MOCIS_LWI_NL1300_SX_2.0	99.5	0	0	4.848	
8117	MG_MOCIS_LWI_NL1300_SX_2.1	99.5	0	0	4.848	
5624	MG_MOCIS_LWI_NL1560_SX_2.0	106.27	0	0	5.645	
8118	MG_MOCIS_LWI_NL1560_SX_2.1	106.27	0	0	5.645	
-1	MG_MOCIS_LWI_NL1820_SX_2.0	116.14	0	0	6.442	
-2	MG_MOCIS_LWI_NL2080_SX_2.0	126	0	0	7.239	
-3	MG_MOCIS_LWI_NL2340_SX_2.0	135.9	0	0	8.036	
-4	MG_MOCIS_LWI_NL2600_SX_2.0	145	0	0	8.833	
-5	MG_MOCIS_LWI_NL2860_SX_2.0	156	0	0	9.63	
-6	MG_MOCIS_LWI_NL3120_SX_2.0	165	0	0	10.427	
-7	MG_MOCIS_LWI_NL3380_SX_2.0	176.8	0	0	11.227	
-8	MG_MOCIS_LWI_NL3640_SX_2.0	187.5	0	0	12.024	
-9	MG_MOCIS_LWI_NL3900_SX_2.0	201.8	0	0	12.821	
5431	MG_MOCIS_LWI_NL4160_SX_2.0	255	0	0	13.619	
4888	MG_MOCIS_VSP_STD_SX_2.0	21.3	0	0	0.193	
4798	MG_MOCIS_VSPDL_STD_SX_2.0	49	0	0	0.211	
4889	MG_MOCIS_VSPP_STD_SX_2.0	29.5	0	0	0.121	
4794	MG_MOCIS_VSPPDL_STD_SX_2.0	63.5	0	0	0.14	
6712	MG_MOCIS_DECK_NL520_SX_2.0	128	0	0	0.311	
-10	MG_MOCIS_DECK_NL780_SX_2.0	145	0	0	0.408	
4891	MG_MOCIS_DECK_NL1040_SX_2.0	162	0	0	0.504	
5758	MG_MOCIS_DECK_NL1300_SX_2.0	169	0	0	0.6	
5622	MG_MOCIS_DECK_NL1560_SX_2.0	202	0	0	0.697	
-11	MG_MOCIS_DECK_NL1820_SX_2.0	234	0	0	0.794	
-12	MG_MOCIS_DECK_NL2080_SX_2.0	266	0	0	0.891	
-13	MG_MOCIS_DECK_NL2340_SX_2.0	298	0	0	0.988	
-14	MG_MOCIS_DECK_NL2600_SX_2.0	330	0	0	1.085	
-15	MG_MOCIS_DECK_NL2860_SX_2.0	362	0	0	1.182	
-16	MG_MOCIS_DECK_NL3120_SX_2.0	394	0	0	1.279	
-17	MG_MOCIS_DECK_NL3380_SX_2.0	426	0	0	1.376	
-18	MG_MOCIS_DECK_NL3640_SX_2.0	458	0	0	1.473	
-19	MG_MOCIS_DECK_NL3900_SX_2.0	490	0	0	1.57	
5432	MG_MOCIS_DECK_NL4160_SX_2.0	498	0	0	1.66	
4843	MG_MOCIS_DECKDL_NL520_SX_2.0	125	0	0	0.636	
-20	MG_MOCIS_DECKDL_NL780_SX_2.0	152	0	0	0.833	
4796	MG_MOCIS_DECKDL_NL1040_SX_2.0	179	0	0	1.03	
7205	MG_MOCIS_DECKDL_NL1300_SX_2.0	206	0	0	1.228	
6502	MG_MOCIS_DECKDL_NL1560_SX_2.0	233	0	0	1.425	
-21	MG_MOCIS_DECKDL_NL1820_SX_2.0	260	0	0	1.622	
-22	MG_MOCIS_DECKDL_NL2080_SX_2.0	287	0	0	1.819	
-23	MG_MOCIS_DECKDL_NL2340_SX_2.0	314	0	0	2.016	
-24	MG_MOCIS_DECKDL_NL2600_SX_2.0	341	0	0	2.213	
-25	MG_MOCIS_DECKDL_NL2860_SX_2.0	368	0	0	2.41	
-26	MG_MOCIS_DECKDL_NL3120_SX_2.0	395	0	0	2.607	
-27	MG_MOCIS_DECKDL_NL3380_SX_2.0	422	0	0	2.804	
