Bezeichnung	FERIX-Bezeichnung		NL520	NL780	NL1040	NL1300	NL1560	NL1820	NL2080	NL2340	NL2600	NL2860	NL3120	NL3380	NL3640	NL3900	NL4160	none	1 x diff	1 x coax 	2 x diff	diff+coax
Halter Lichtleiter	MG_MOCIS_HALILEI_STD_SX_2.0		5425	5425	5425	5425												0	0	2	0	2
Selfoc-Linse	O_TC54_09AG		7429	7429	7429	7429	7429	7429	7429	7429	7429	7429	7429	7429	7429	7429	7429	N + 4	N + 4	N + 4	N + 4	N + 4
Druckluftanschluß	MK_DRULUAN_M5_G		4047	4047	4047	4047	4047	4047	4047	4047	4047	4047	4047	4047	4047	4047	4047	1	1	1	1	1
Temperaturindikator	X_TEMPINDI_12x32x93°		3565	3565	3565	3565	3565	3565	3565	3565	3565	3565	3565	3565	3565	3565	3565	1	1	1	1	1
Shockwatch	X_Shockwatch_37G_Clip		5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	2	2	2	2	2
Shockwatch	X_Shockwatch_37G_Label		5803	5803	5803	5803	5803	5803	5803	5803	5803	5803	5803	5803	5803	5803	5803	1	1	1	1	1
Staubschutzkappe SUBD	X_09_STAUBSCHUKAP_SUBD		4802	4802	4802	4802	4802	4802	4802	4802	4802	4802	4802	4802	4802	4802	4802	1	1	1	1	1
Staubschutzkappe CL	X_26_STAUBSCHUKAP_CL		5125	5125	5125	5125	5125	5125	5125	5125	5125	5125	5125	5125	5125	5125	5125	1	1	1	1	1
Montagewürfel	MM_MOWÜ_2M3_10x10x10		4228	4228	4228	4228	4228	4228	4228	4228	4228	4228	4228	4228	4228	4228	4228	0	0	0	S	0
Satz Bolzen für SUB-D-Stecker	MM_IA_UNC4-40_3.3_VZ		3204	3204	3204	3204	3204	3204	3204	3204	3204	3204	3204	3204	3204	3204	3204	3	3	3	3	3
Bolzen für Cameralink-Stecker	MM_IA_UNC4-40_3.3_CL_VZ		3153	3153	3153	3153	3153	3153	3153	3153	3153	3153	3153	3153	3153	3153	3153	F * 4	F * 4	F * 4	F * 4	F * 4
